sentence,entity1,entity2,label
"A second , related theme is the use of speech and text-image recognition to retrieve arbitrary , user-specified information from documents with signal content .",speech and text-image recognition,theme,USED-FOR
"A second , related theme is the use of speech and text-image recognition to retrieve arbitrary , user-specified information from documents with signal content .",documents with signal content,speech and text-image recognition,USED-FOR
"This paper discusses three research initiatives at PARC that exemplify these themes : a text-image editor -LSB- 1 -RSB- , a wordspotter for voice editing and indexing -LSB- 12 -RSB- , and a decoding framework for scanned-document content retrieval -LSB- 4 -RSB- .",text-image editor,research,HYPONYM-OF
"This paper discusses three research initiatives at PARC that exemplify these themes : a text-image editor -LSB- 1 -RSB- , a wordspotter for voice editing and indexing -LSB- 12 -RSB- , and a decoding framework for scanned-document content retrieval -LSB- 4 -RSB- .",text-image editor,wordspotter,CONJUNCTION
"This paper discusses three research initiatives at PARC that exemplify these themes : a text-image editor -LSB- 1 -RSB- , a wordspotter for voice editing and indexing -LSB- 12 -RSB- , and a decoding framework for scanned-document content retrieval -LSB- 4 -RSB- .",wordspotter,research,HYPONYM-OF
"This paper discusses three research initiatives at PARC that exemplify these themes : a text-image editor -LSB- 1 -RSB- , a wordspotter for voice editing and indexing -LSB- 12 -RSB- , and a decoding framework for scanned-document content retrieval -LSB- 4 -RSB- .",wordspotter,voice editing and indexing,CONJUNCTION
"This paper discusses three research initiatives at PARC that exemplify these themes : a text-image editor -LSB- 1 -RSB- , a wordspotter for voice editing and indexing -LSB- 12 -RSB- , and a decoding framework for scanned-document content retrieval -LSB- 4 -RSB- .",voice editing and indexing,decoding framework,CONJUNCTION
"This paper discusses three research initiatives at PARC that exemplify these themes : a text-image editor -LSB- 1 -RSB- , a wordspotter for voice editing and indexing -LSB- 12 -RSB- , and a decoding framework for scanned-document content retrieval -LSB- 4 -RSB- .",decoding framework,research,HYPONYM-OF
"This paper discusses three research initiatives at PARC that exemplify these themes : a text-image editor -LSB- 1 -RSB- , a wordspotter for voice editing and indexing -LSB- 12 -RSB- , and a decoding framework for scanned-document content retrieval -LSB- 4 -RSB- .",decoding framework,scanned-document content retrieval,USED-FOR
The problem of predicting image or video interestingness from their low-level feature representations has received increasing interest .,low-level feature representations,predicting image or video interestingness,USED-FOR
"To make the annotation less subjective and more reliable , recent studies employ crowdsourcing tools to collect pairwise comparisons -- relying on majority voting to prune the annotation outliers/errors .",crowdsourcing tools,pairwise comparisons,USED-FOR
"To make the annotation less subjective and more reliable , recent studies employ crowdsourcing tools to collect pairwise comparisons -- relying on majority voting to prune the annotation outliers/errors .",majority voting,crowdsourcing tools,USED-FOR
"To make the annotation less subjective and more reliable , recent studies employ crowdsourcing tools to collect pairwise comparisons -- relying on majority voting to prune the annotation outliers/errors .",majority voting,annotation outliers/errors,USED-FOR
