entity1,entity2,relation_type
Bayesian framework,people 's trajectories and intents,USED-FOR
Bayesian framework,constraint map of the scene,USED-FOR
Bayesian framework,locations of functional objects,USED-FOR
people 's trajectories and intents,constraint map of the scene,CONJUNCTION
constraint map of the scene,locations of functional objects,CONJUNCTION
data-driven Markov Chain Monte Carlo -LRB- MCMC -RRB- process,inference,USED-FOR
videos of public squares and courtyards,localizing functional objects,EVALUATE-FOR
videos of public squares and courtyards,predicting people 's trajectories,EVALUATE-FOR
localizing functional objects,predicting people 's trajectories,CONJUNCTION
process model,hierarchical perceptual sound organization,USED-FOR
perceptual sounds,incoming sound signals,PART-OF
scene analysis problem,perceptual sound organization,USED-FOR
auditory domain,scene analysis problem,FEATURE-OF
processing modules,model,PART-OF
processing modules,hypothesis network,CONJUNCTION
hypothesis network,model,PART-OF
internal model,hypothesis network,PART-OF
internal model,perceptual sounds,USED-FOR
music scene analysis system,acoustic signals of ensemble music,USED-FOR
music scene analysis system,rhythm,USED-FOR
music scene analysis system,chords,USED-FOR
music scene analysis system,source-separated musical notes,USED-FOR
rhythm,chords,CONJUNCTION
chords,source-separated musical notes,CONJUNCTION
information integration,method,FEATURE-OF
information integration,internal model,USED-FOR
internal model,hierarchical perceptual sounds,USED-FOR
word sense disambigation models,statistical machine translation quality,USED-FOR
Chinese word sense disambiguation model,translation candidates,USED-FOR
translation candidates,IBM statistical MT system,USED-FOR
word sense disambiguation,statistical machine translation system,COMPARE
translation quality,word sense disambiguation,EVALUATE-FOR
translation quality,statistical machine translation system,EVALUATE-FOR
Image sequence processing techniques,"exchange , growth , and transport processes",USED-FOR
environmental physics,biology,CONJUNCTION
accuracy,estimation of the motion field,EVALUATE-FOR
estimation of the motion field,applications,USED-FOR
first-order derivatives of the motion field,dynamical changes of the moving objects,CONJUNCTION
derivative filters,tensor method,USED-FOR
pixels/frame,displacement vector fields -LRB- DVF -RRB-,EVALUATE-FOR
real-world images,pixels/frame,USED-FOR
accuracy,tensor method,EVALUATE-FOR
computer-generated sequences,tensor method,EVALUATE-FOR
computer-generated sequences,calibrated image sequence,CONJUNCTION
calibrated image sequence,tensor method,EVALUATE-FOR
accuracy,motion estimation,EVALUATE-FOR
CCD sensors,motion estimation,USED-FOR
spatial nonuni-formity,responsivity,FEATURE-OF
responsivity,CCD sensors,FEATURE-OF
techniques,analysis of plant growth,USED-FOR
techniques,ocean surface microturbulence in IR image sequences,USED-FOR
techniques,sediment transport,USED-FOR
analysis of plant growth,ocean surface microturbulence in IR image sequences,CONJUNCTION
ocean surface microturbulence in IR image sequences,sediment transport,CONJUNCTION
Czech-English statistical machine translation system,tree-to-tree translation of dependency structures,USED-FOR
sentence-aligned parallel corpus,bilingual resource,USED-FOR
system,benchmark system,COMPARE
Japanese,spatial descriptions,FEATURE-OF
spatial attributes of the entities,numerical constraints,USED-FOR
context information,intrinsic representation of a video frame,USED-FOR
approach,deep video representation,USED-FOR
local and holistic contexts,approach,USED-FOR
triplet sampling mechanism,local temporal relationship of adjacent frames,USED-FOR
deep representations,triplet sampling mechanism,USED-FOR
graph structure of the video,priori,USED-FOR
end-to-end deep convolutional neu-ral network architecture,approach,USED-FOR
learned representation,video representations,COMPARE
video recognition tasks,learned representation,EVALUATE-FOR
video recognition tasks,video representations,EVALUATE-FOR
retrieval,video recognition tasks,HYPONYM-OF
retrieval,classification,CONJUNCTION
classification,video recognition tasks,HYPONYM-OF
classification,highlight detection,CONJUNCTION
highlight detection,video recognition tasks,HYPONYM-OF
speaker DOA estimation accuracy,mobile speech application,FEATURE-OF
speaker DOA estimation accuracy,interference robustness,CONJUNCTION
interference robustness,mobile speech application,FEATURE-OF
interference robustness,compact physical size,CONJUNCTION
compact physical size,mobile speech application,FEATURE-OF
It,favorable properties,USED-FOR
inter-sensor data ratio model,AVS,USED-FOR
bispectrum domain -LRB- BISDR -RRB-,AVS,USED-FOR
zero value of Gaussian process,favorable properties,HYPONYM-OF
zero value of Gaussian process,distribution of speech and NSI,CONJUNCTION
distribution of speech and NSI,favorable properties,HYPONYM-OF
bispectrum mask,speaker DOA cues,USED-FOR
BISDR,speaker DOA cues,USED-FOR
algorithm,NSI conditions,USED-FOR
morphological component,NLP-system for Dutch -LRB- Dutch Medical Language Processor - DMLP -RRB-,PART-OF
language independent modules,LSP-MLP system -LRB- Linguistic String Project - Medical Language Processor -RRB-,PART-OF
latter,former,USED-FOR
Dutch,idiosyncrasies,USED-FOR
relevant information,patient discharge summary -LRB- PDS -RRB-,PART-OF
HyperText Mark-Up Language -LRB- HTML -RRB- technology,highlighting of relevant information,USED-FOR
application,medical administrative purposes,USED-FOR
essay-based discourse elements,CriterionSM Online Essay Evaluation Service,PART-OF
thesis statements,essay-based discourse elements,HYPONYM-OF
system,Criterion 's capability,USED-FOR
coherence in essays,system,EVALUATE-FOR
system,features,USED-FOR
semantic similarity measures,features,USED-FOR
discourse structure,features,USED-FOR
discourse structure,semantic similarity measures,CONJUNCTION
features,support vector machine,USED-FOR
features,breakdowns in coherence,USED-FOR
rule-based heuristics,Intra-sentential quality,EVALUATE-FOR
system,baseline,COMPARE
algorithm,labeling curvilinear structure,USED-FOR
line drawings,labeling curvilinear structure,FEATURE-OF
line drawings,edge images,CONJUNCTION
edge images,labeling curvilinear structure,FEATURE-OF
CURVE-ELEMENT tokens,spatially-indexed and scale-indexed data structure,PART-OF
